1,2,3,4,5,6,7,8,9,10,11,12.00,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,VEHICLE_MAKE,VEHICLE_BODY,CUBIC_CAPACITY,REGISTRATION_NUMBER,YEAR_OF_MANUFACTURE,ENGINE_NUMBER,CHASSIS_NUMBER,NUMBER_OF _PASSENGERS,GOODS_CARRYING_CAPACITY,DATE_OF_PURCHASE,SUM_INSURED,COVER_TYPE,WINDSCREEN_AMOUNT,RADIO_CASSETTE_AMOUNT,ACCESSORIES_AMOUNT,BAGGAGE_COVER_AMOUNT,TPPD_AMOUNT,TOWING_CHARGE_AMOUNT,REPAIR_AUTHORITY_AMOUNT,MEDICAL_EXPENSES_AMOUNT,BASIC_PREMIUM_AMOUNT,THIRD_PARTY_CLAIM_AMOUNT,CERTIFICATE_NUMBER,REGISTRATION_NUMBER,COVER_TYPE,ROWID,D MARK,POLICY_CODE,VEHICLE_COLOUR,SPARE_WHEEL_AMOUNT,PASSENGER_LEGAL_LIABILITY_AMOUNT,LOG_BOOK_NUMBER,PRIVATE_CAR_CERTIFICATE_NUMBER
52,MITSUBISHI-ASX-GA2,,,KDG252Q,,,JMYXTGA2WKU002929,4,,,3200000.00,COM,120000,75000,,,20000000,,,,,7500,28460284,,,,,COMP/07/49864/07,,,,,
53,PROTON X70,,,KDG568C,,,PL1NL2EVRMG021661,4,,,4000000.00,COM,120000,75000,,,20000000,,,,,7500,28460285,,,,,COMP/07/49864/07,,,,,
54,PROTON X70,,,KDG632C,,,PL1NL2EVRNG042900,4,,,4000000.00,COM,120000,75000,,,20000000,,,,,7500,28460286,,,,,COMP/07/49864/07,,,,,
55,PROTON X70,,,KDG677C,,,PL1NL3EVRMG029293,4,,,4000000.00,COM,120000,75000,,,20000000,,,,,7500,28460287,,,,,COMP/07/49864/07,,,,,
56,PROTON SAGA AUTO PREMIUM,,,KDH152Y,,,PL1BT3SRRMB149363,4,,,1000000.00,COM,100000,75000,,,20000000,,,,,7500,28460288,,,,,COMP/07/49864/07,,,,,
57,MITSUBISHI PAJERO SPORT KS1,,,KDH358K,,,MMBGUKS10MH006467,4,,,7200000.00,COM,100000,75000,,,20000000,,,,,7500,28460289,,,,,COMP/07/49864/07,,,,,
58,MAHINDRA SCORPIO,,,KDJ265J,,,MA1RC4VK2N2015884,4,,,3400000.00,COM,100000,75000,,,20000000,,,,,7500,28460290,,,,,COMP/07/49864/07,,,,,
59,PAJERO SPORT-KS1,,,KDK397U,,,MMBGUKS10NH014070,4,,,9860000.00,COM,120000,75000,,,20000000,,,,,7500,28460291,,,,,COMP/07/49864/07,,,,,
60,PROTON X70,,,KDK526G,,,PL1NL2EVRNG042912,4,,,5200000.00,COM,75000,75000,,,20000000,,,,,7500,28460292,,,,,COMP/07/49864/07,,,,,
61,MAHINDRA SCORPIO DC,,,KDL273S,,,MA1RA2VK2N2C39659,4,,,2500000.00,COM,75000,75000,,,20000000,,,,,7500,28460293,,,,,COMP/07/49864/07,,,,,
62,L200 KL3 DOUBLE CAB,,,KDL302T,,,AVAJTKKYK21090006,4,,,5800500.00,COM,100000,75000,,,20000000,,,,,7500,28460294,,,,,COMP/07/49864/07,,,,,
63,L200 Dcab Manual Highgrade,,,KDM168A,,,AVAJTKKYK21090018,4,,,5700000.00,COM,100000,75000,,,20000000,,,,,7500,28460295,,,,,COMP/07/49864/07,,,,,
64,L200 Dcab Manual Highgrade,,,KDM169A,,,AVAJTKKYK21090019,4,,,5700000.00,COM,100000,75000,,,20000000,,,,,7500,28460296,,,,,COMP/07/49864/07,,,,,
65,MAHINDRA SCORPIO DC,,,KDN393D,,,MA1RC4VK2N2015885,4,,,3400000.00,COM,75000,75000,,,20000000,,,,,7500,28460297,,,,,COMP/07/49864/07,,,,,
66,EXPANDER,,,KDJ086A,,,MK2LRNC1WLN031503,4,,,3000000.00,COM,100000,75000,,,20000000,,,,,7500,28460298,,,,,COMP/07/49864/07,,,,,
67,MITUSBISHI PAJERO V98,,,KDB009D,,,JMYLYV98WLJ000478,4,,,6000000.00,COM,120000,75000,,,20000000,,,,,7500,28460271,,,,,COMP/07/49864/07,,,,,
68,MAHINDRA SCORPIO,,,KDB208U,,,MA1RA2VK2M2028477,4,,,1530000.00,COM,75000,75000,,,20000000,,,,,7500,28460272,,,,,COMP/07/49864/07,,,,,
